Company,Website,City,Segment,What They Make,Revenue Band,Decision Maker,C1,C1 Evidence,C2,C2 Evidence,C3,C3 Evidence,C4,C4 Evidence,C5,C5 Evidence,C6,C6 Evidence,Federer Score,Band,Personalization Hook
String Bio,stringbio.com,Bengaluru,Specialty biotech,Fermentation-based proteins,<500Cr,Vinod Kumar,Strong,Own fermentation capability,Strong,India HQ,Strong,Synthetic biology IP,Strong,Scientist-led,Strong,Sustainability tailwinds,Strong,Recent hiring,90,A,Your methane-to-protein synthesis approach is a fascinating technical moat.
Eyestem Research,eyestem.com,Bengaluru,Biotech,Cell therapy products,<500Cr,Dr. Jogin Desai,Strong,Proprietary cell therapy development,Strong,India HQ,Strong,Regenerative medicine IP,Strong,Scientist-founder,Strong,Medical tailwinds,Moderate,Visible R&D activity,85,A,Impressive progress on retinal cell therapy innovation from Bengaluru.
Bugworks Research,bugworksresearch.com,Bengaluru,Specialty biotech,Novel antibiotics,<500Cr,Dr. Anand Anandkumar,Moderate,R&D heavy pipeline,Strong,India HQ,Strong,Novel antibiotic IP,Strong,PhD/Scientist-led,Strong,Global AMR demand,Strong,Research expansion,90,A,Your work on novel-class antibiotics against resistant pathogens is critical.
Sea6 Energy,sea6energy.com,Bengaluru,Specialty Agri-inputs,Seaweed-based biomaterials,<500Cr,Shrikumar Suryanarayan,Strong,Integrated processing plant,Strong,India HQ,Strong,Patented seaweed tech,Strong,IIT-founder background,Strong,Bioeconomy tailwinds,Strong,Export activity,95,A,Commercializing tropical seaweed processing at scale is a massive technical feat.
Skanray Technologies,skanray.com,Bengaluru,Medical Devices,High-frequency X-ray systems,<500Cr,Vishwaprasad Alva,Strong,In-house manufacturing in Mysore/Bangalore,Strong,India HQ,Strong,80+ patents in med-tech,Strong,Technical Promoter,Strong,Healthcare manufacturing push,Strong,Expanding global footprint,92,A,Your focus on indigenous high-end medical electronics manufacturing is inspiring.
Morphle Labs,morphlelabs.com,Bengaluru,Diagnostics,Digital pathology hardware,<500Cr,Rohit Hiwale,Strong,Builds molecular hardware,Strong,India HQ,Strong,Portable PCR innovation,Strong,IIT-Technical founder,Strong,Diagnostic tailwinds,Moderate,Growing R&D team,82,A,The way you've miniaturized digital pathology hardware is a game changer.
Tonbo Imaging,tonboimaging.com,Bengaluru,Industrial Sensors,Thermal imaging systems,<500Cr,Arvind Lakshmikumar,Strong,Own hardware development,Strong,India HQ,Strong,Defence imaging IP,Strong,CMU/Technical founder,Strong,Defence electronics growth,Strong,New contracts,92,A,Your proprietary thermal imaging IP for defense applications stands out in the region.
Agnit Semiconductors,agnitsemi.com,Bengaluru,Industrial Electronics,Gallium Nitride (GaN) devices,<500Cr,Hareesh Chandrasekar,Strong,In-house semiconductor dev,Strong,India HQ,Strong,Wide-bandgap IP,Strong,IISc-led technical team,Strong,Semi-conductor tailwinds,Strong,Emerging scale-up,86,A,Pioneering GaN semiconductor technology from IISc is a high-rigor achievement.
Log9 Materials,log9materials.com,Bengaluru,Advanced Materials,Graphene-based batteries,<500Cr,Akshay Singhal,Strong,Own cell manufacturing,Strong,India HQ,Strong,Graphene and battery IP,Strong,IIT Technical founder,Strong,Energy storage tailwinds,Strong,Factory expansion,94,A,Your rapid scaling of graphene-based battery tech in Bengaluru is impressive.
Agnikul Cosmos,agnikul.in,Bengaluru,Aerospace,3D printed rocket engines,<500Cr,Srinath Ravichandran,Strong,Own 3D printing facility,Strong,India HQ,Strong,Semi-cryogenic engine IP,Strong,Technical founders,Strong,Space-tech tailwinds,Strong,Testing milestones,95,A,Your achievement with the world’s first single-piece 3D printed engine is historic.
Bhat Bio-Tech,bhatbiotech.com,Bengaluru,Specialty Biotech,Diagnostic kits & reagents,<500Cr,Dr. Shama Bhat,Strong,Large manufacturing unit,Strong,India HQ,Strong,In-house R&D recognized by DSIR,Strong,Scientist-promoter,Strong,Make in India Diagnostics,Moderate,Steady expansion,88,A,Your DSIR-recognized R&D in diagnostic kits shows deep technical discipline.
Innaumation Medical,innaumation.com,Bengaluru,Medical Devices,Voice restoration devices,<500Cr,Dr. Vishal Rao,Strong,Proprietary device manufacturing,Strong,India HQ,Strong,Patented medical innovation,Strong,Doctor/Scientist led,Strong,Affordable med-tech push,Moderate,Clinical adoption,84,A,The technical simplicity and impact of the Aum voice box is truly 'Federer' style.
PathShodh Healthcare,pathshodh.com,Bengaluru,Diagnostics,Handheld sensing devices,<500Cr,Vinay Kumar,Strong,Builds sensing hardware,Strong,India HQ,Strong,Lab-on-palm technology IP,Strong,IISc scientist-led,Strong,Point-of-care tailwinds,Moderate,Product launch activity,83,A,Your lab-on-palm innovation is a perfect example of scientific execution.
Accio Robotics,acciorobotics.com,Bengaluru,Industrial Automation,Warehouse robots,<500Cr,Pranav Inampudi,Strong,Own robotic assembly,Strong,India HQ,Strong,Mobile robotics IP,Strong,Technical founder,Strong,Logistics automation,Strong,Hiring robotics engineers,88,A,Your focus on autonomous mobile robots for warehouses is timely and high-tech.
Achira Labs,achiralabs.com,Bengaluru,Specialty Biotech,Microfluidics diagnostics,<500Cr,Dr. Dhananjaya Dendukuri,Strong,In-house lab-on-chip mfg,Strong,India HQ,Strong,Microfluidics platform IP,Strong,PhD Technical Founder,Strong,Personalized health tech,Moderate,Active R&D,85,A,Using microfluidics for decentralized testing is a high-entry-barrier technical play.
Cell Propulsion,cellpropulsion.com,Bengaluru,EV Systems,Electric powertrains,<500Cr,Nakul Kukar,Strong,In-house powertrain mfg,Strong,India HQ,Strong,Powertrain & Battery IP,Strong,ISRO/Technical founders,Strong,Commercial EV tailwinds,Moderate,Scaling operations,78,B,Your background from ISRO brings a rare level of rigor to EV powertrain design.
Peptris Technologies,peptris.com,Bengaluru,Specialty Biotech,AI-based drug discovery,<500Cr,Narayanan S,Moderate,AI-led discovery platform,Strong,India HQ,Strong,Proprietary AI/ML models,Strong,Technical leadership,Strong,Bio-IT convergence,Moderate,Funding updates,80,A,The intersection of AI and drug discovery at Peptris is a standout technical moat.
Pandorum Technologies,pandorumtechnologies.com,Bengaluru,Regenerative Biotech,3D Bioprinted tissues,<500Cr,Tuhin Bhowmick,Strong,Emerging biotech manufacturing,Strong,India HQ,Strong,Regenerative medicine IP,Strong,PhD/Scientist-led,Strong,Advanced biotech growth,Moderate,Research activity,82,A,3D bioprinting human tissue is perhaps the ultimate 'Federer' technical challenge.
Detect Technologies,detecttechnologies.com,Bengaluru,Industrial Sensors,AI inspection hardware,<500Cr,Daniel Raj David,Strong,In-house hardware mfg,Strong,India HQ,Strong,Industrial AI monitoring IP,Strong,IIT Technical founders,Strong,Industry 4.0 tailwinds,Strong,Global deployments,90,A,Your sensor-to-AI integration for industrial health monitoring is world-class.
QpiAI,qpiai.tech,Bengaluru,Advanced Computing,Quantum/AI hardware,<500Cr,Nagendra Nagaraja,Moderate,Emerging hardware design,Strong,India HQ,Strong,Quantum/AI IP,Strong,Technical founder,Strong,Deep-tech tailwinds,Strong,Hiring specialized talent,88,A,Taking on quantum hardware from India shows incredible technical ambition.
Mistral Solutions,mistralsolutions.com,Bengaluru,Embedded Electronics,Defence electronics,<500Cr,Mujahid Alam,Strong,Embedded hardware mfg,Strong,India HQ,Strong,Aerospace/Defence IP,Moderate,Engineering-led,Strong,Indigenization tailwinds,Moderate,Steady execution,76,B,Your deep experience in ruggedized electronics for defense is highly respected.
Stelis Biopharma,stelis.com,Bengaluru,Specialty Biotech,Biologics manufacturing,<500Cr,Arun Kumar,Strong,State-of-the-art facilities,Strong,India HQ,Strong,Complex biologics IP,Strong,Promoter-led,Strong,Biopharma tailwinds,Strong,Facility expansion,89,A,Your large-scale CDMO capabilities for complex biologics are a key asset for Bengaluru.
Bellatrix Aerospace,bellatrix.aero,Bengaluru,Aerospace,Satellite propulsion systems,<500Cr,Rohan Ganapathy,Strong,In-house propulsion labs,Strong,India HQ,Strong,Electric/Green propulsion IP,Strong,Technical founders,Strong,Space economy growth,Strong,Multiple test successes,93,A,"Green propulsion technology is a high-rigor field, and your patents prove your moat."
Ajantox,ajantox.com,Bengaluru,Specialty Chemicals,Titanium Dioxide specialty grades,<500Cr,Technical Promoter,Strong,Own chemical plant,Strong,India HQ,Moderate,Specialty pigment grades,Strong,Engineering background,Strong,Chemical sector growth,Moderate,Stable signals,72,B,Focusing on high-purity titanium dioxide grades shows a disciplined manufacturing focus.
CynLr,cynlr.com,Bengaluru,Industrial Automation,Visual robots (Vision-native),<500Cr,Nikhil Ramaswamy,Strong,Robot assembly & R&D,Strong,India HQ,Strong,Vision-intelligence IP,Strong,Technical founders,Strong,Industrial AI tailwinds,Strong,Hiring and funding,91,A,Your approach to 'visual intelligence' for robotic arms is a massive step up from standard automation.
